Toyota,Corolla,2018,45000,automatic,14500
Honda,Civic,2019,38000,manual,15500
Ford,Focus,2017,52000,automatic,12500
Volkswagen,Golf,2018,41000,automatic,16500
Hyundai,Elantra,2020,22000,automatic,17500
Kia,Ceed,2019,30000,manual,14900
Mazda,3,2021,18000,automatic,19900
Subaru,Impreza,2018,47000,manual,16000
Nissan,Sentra,2017,60000,automatic,11800
Chevrolet,Cruze,2018,43000,automatic,13500
BMW,320i,2016,68000,automatic,22500
Audi,A3,2017,54000,automatic,21500
Mercedes,C200,2016,62000,automatic,24500
Volvo,S60,2018,39000,automatic,23500
Lexus,IS300,2017,50000,automatic,25500
Peugeot,308,2019,27000,manual,14200
Renault,Megane,2018,35000,manual,13800
Skoda,Octavia,2020,21000,automatic,18800
Seat,Leon,2019,26000,manual,15200
Toyota,Camry,2017,58000,automatic,19500
Honda,Accord,2018,49000,automatic,20500
Ford,Mondeo,2017,61000,automatic,17500
Volkswagen,Passat,2018,42000,automatic,19800
Hyundai,Sonata,2019,33000,automatic,18500
Kia,Optima,2018,36000,automatic,17900

